className,testName,instructionCount.O0,globalCount.O0,encodedSize.O0,instructionCount.O1,globalCount.O1,encodedSize.O1,instructionCount.DIFF,globalCount.DIFF,encodedSize.DIFF
MIN,0,37,3,82,4,2,17,-164,-1,-327
MAX,0,300,27,580,136,27,253,-33,0,-65
AVERAGE,0,64.97872340425532,7.851063829787234,132.53191489361703,24.48936170212766,7.553191489361702,52.95744680851064,-40.48936170212766,-0.2978723404255319,-79.57446808510639
MEDIAN,0,50,8,105,17,7,40,-33,0,-65
UziVMTestFilesGenerator,Test043ForLoop,46,4,94,13,4,29,-33,0,-65
UziVMTestFilesGenerator,Test044ReversedForLoop,46,4,94,13,4,29,-33,0,-65
UziVMTestFilesGenerator,Test045ForLoopWithoutConstantStep,53,4,108,20,4,43,-33,0,-65
UziVMTestFilesGenerator,Test046ReverseForLoopWithoutConstantStep,53,4,112,20,4,47,-33,0,-65
UziVMTestFilesGenerator,Test047ForLoopShouldOnlyEvaluateStepOncePerIteration,66,5,132,33,5,67,-33,0,-65
UziVMTestFilesGenerator,Test048MutexShouldGuaranteeACriticalSection,124,11,242,58,11,112,-66,0,-130
UziVMTestFilesGenerator,Test049ChannelShouldDeadlockIfConsumingFromTheSameTaskAsProducer,125,10,228,59,10,98,-66,0,-130
UziVMTestFilesGenerator,Test050ChannelWithMultipleProducersAndNoConsumerShouldBlockAllProducers,136,14,255,47,13,92,-89,-1,-163
UziVMTestFilesGenerator,Test051ChannelWithOneProducerAndOneConsumerBlocksTheProducerAtTheRateOfConsumer,130,10,240,64,10,110,-66,0,-130
UziVMTestFilesGenerator,Test052ChannelWithMultipleProducersAndOneConsumer,136,13,262,70,13,132,-66,0,-130
UziVMTestFilesGenerator,Test053ChannelWithMultipleConsumersAndOneProducer,144,13,267,78,13,137,-66,0,-130
UziVMTestFilesGenerator,Test054VariablesWithTheSameNameInDifferentScopesShouldNotInterfereWithEachOther,43,5,94,10,5,29,-33,0,-65
UziVMTestFilesGenerator,Test055VariablesWithTheSameNameInDifferentScopesShouldNotInterfereWithEachOther,39,5,88,6,4,23,-33,-1,-65
UziVMTestFilesGenerator,test056Round,45,8,105,12,7,40,-33,-1,-65
UziVMTestFilesGenerator,test057Ceil,45,8,105,12,7,40,-33,-1,-65
UziVMTestFilesGenerator,test058Floor,45,8,105,12,7,40,-33,-1,-65
UziVMTestFilesGenerator,test059Sqrt,37,4,85,4,3,20,-33,-1,-65
UziVMTestFilesGenerator,test060Abs,45,8,101,12,7,36,-33,-1,-65
UziVMTestFilesGenerator,test061NaturalLogarithm,47,9,101,14,8,36,-33,-1,-65
UziVMTestFilesGenerator,test062Log10,47,9,101,14,8,36,-33,-1,-65
UziVMTestFilesGenerator,test063Exp,45,7,101,12,7,36,-33,0,-65
UziVMTestFilesGenerator,test064Pow10,45,7,101,12,7,36,-33,0,-65
UziVMTestFilesGenerator,test065IsCloseTo,57,11,122,24,11,57,-33,0,-65
UziVMTestFilesGenerator,test066Asin,47,8,104,14,8,39,-33,0,-65
UziVMTestFilesGenerator,test067Acos,47,8,104,14,8,39,-33,0,-65
UziVMTestFilesGenerator,test068Atan,45,7,101,12,7,36,-33,0,-65
UziVMTestFilesGenerator,test069Power,48,8,101,15,8,36,-33,0,-65
UziVMTestFilesGenerator,test070IsOn,41,3,86,8,2,21,-33,-1,-65
UziVMTestFilesGenerator,test071IsOff,41,3,86,8,2,21,-33,-1,-65
UziVMTestFilesGenerator,test072Mod,65,10,118,32,10,53,-33,0,-65
UziVMTestFilesGenerator,test073Constrain,55,10,117,22,9,52,-33,-1,-65
UziVMTestFilesGenerator,test074RandomInt,56,6,118,23,6,53,-33,0,-65
UziVMTestFilesGenerator,test075Random,54,5,107,21,5,42,-33,0,-65
UziVMTestFilesGenerator,test076IsEven,50,9,109,17,9,44,-33,0,-65
UziVMTestFilesGenerator,test077IsOdd,50,9,105,17,9,40,-33,0,-65
UziVMTestFilesGenerator,test078IsPrime,50,9,107,17,8,42,-33,-1,-65
UziVMTestFilesGenerator,test079IsWhole,50,9,116,17,9,51,-33,0,-65
UziVMTestFilesGenerator,test080IsPositive,50,9,113,17,9,48,-33,0,-65
UziVMTestFilesGenerator,test081IsNegative,50,9,112,17,9,47,-33,0,-65
UziVMTestFilesGenerator,test082IsDivisibleBy,54,11,118,21,10,53,-33,-1,-65
UziVMTestFilesGenerator,test085Minutes,57,6,106,24,6,41,-33,0,-65
UziVMTestFilesGenerator,test086Seconds,57,6,102,24,6,37,-33,0,-65
UziVMTestFilesGenerator,test087Millis,57,6,108,24,6,43,-33,0,-65
UziVMTestFilesGenerator,test088ScriptCallOverridingPrimitive,47,3,98,14,3,33,-33,0,-65
UziVMTestFilesGenerator,test089DebuggerBreakpointHaltsAllScripts,43,4,88,10,4,23,-33,0,-65
UziVMTestFilesGenerator,test091ChangingTheProgramResetsTheVMState,41,3,82,8,3,17,-33,0,-65
UziVMTestFilesGenerator,test094ProgramWithMultipleImports,300,27,580,136,27,253,-164,0,-327
